prompt_id,prompt
1,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
thank you its now up to the st november estimated

Return only one label from the valid labels."
2,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
hi spoke to cs they said i have to return it myself usin arrowxl however the phone number they gave doesnt work this doesnt seem like an easy process for an item which is suppose to have easy returns

Return only one label from the valid labels."
3,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
done filled the required info awaiting your actions

Return only one label from the valid labels."
4,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
the sale period is already over and i could never buy this device which your representative assured that i would be able to

Return only one label from the valid labels."
5,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
when will be the earliest more month

Return only one label from the valid labels."
6,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
rcvd amp figured it was hurricane related but isnt the perk of prime day shipping my grandmas th bday gift was that was late

Return only one label from the valid labels."
7,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
beim letzten bestellschritt steht unter den auswahlmglichkeiten zur versandart vorher gab es bei der adressauswahl wirren javacode

Return only one label from the valid labels."
8,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
this was somehow cancelled nowbut dont worry your about to fail againcause theres no way in the next hrs this comes

Return only one label from the valid labels."
9,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
i totally love amazon and have been loyal for yrs now but a recent experience related to order refund has been horrendous talking to support execs has been futile thus far please help me

Return only one label from the valid labels."
10,"You are classifying customer support tweets.

Choose the company label that best matches the tweet.

Valid labels:
amazonhelp, americanair, applesupport, delta, southwestair, spotifycares, tesco, uber_support, virgintrains

Tweet:
hope you guys can track my details through order numberpfa

Return only one label from the valid labels."
