prompt_id,clean_text,company
1,thank you its now up to the st november estimated,amazonhelp
2,hi spoke to cs they said i have to return it myself usin arrowxl however the phone number they gave doesnt work this doesnt seem like an easy process for an item which is suppose to have easy returns,amazonhelp
3,done filled the required info awaiting your actions,amazonhelp
4,the sale period is already over and i could never buy this device which your representative assured that i would be able to,amazonhelp
5,when will be the earliest more month,amazonhelp
6,rcvd amp figured it was hurricane related but isnt the perk of prime day shipping my grandmas th bday gift was that was late,amazonhelp
7,beim letzten bestellschritt steht unter den auswahlmglichkeiten zur versandart vorher gab es bei der adressauswahl wirren javacode,amazonhelp
8,this was somehow cancelled nowbut dont worry your about to fail againcause theres no way in the next hrs this comes,amazonhelp
9,i totally love amazon and have been loyal for yrs now but a recent experience related to order refund has been horrendous talking to support execs has been futile thus far please help me,amazonhelp
10,hope you guys can track my details through order numberpfa,amazonhelp
11,totally understand we are glad to have gotten the earlier flight,americanair
12,sounds about normal for im amazed they can keep acting shocked like its the first time theyve heard it when people post it,americanair
13,hey i appreciate your concern for my safety but why do i need the shoulder belt on a front facing seat on a fa tells me to put it on but not my rear facing neighbors am i really more important ordgtnrt,americanair
14,everyones so excited about the new aa flagship lounges in ord and jfk any news on when in the mia lounge will open,americanair
15,thanks my flight back east at sunset was like watching a panoramic movie,americanair
16,the worst flight experience manager suarez ord should be fired for cancelling our transfers and storming off on our questions,americanair
17,dont care about their customers,americanair
18,stuck in hong kong hour delay due to maintenance cmon help me out i have a company to run and a dog waiting for me americanairlines,americanair
19,had the worst flying experience of my life today with no lie just bullshit top to bottom,americanair
20,manolo and i love our first class flight attendant ill get her name such a happy and sweet lady,americanair
21,id like to offer thanks to for their assistance offered through twitter thank you for the professional and courteous way you handled my petulant complaint,applesupport
22,i forgot my pwd in app restrictions what should i do for disable pwd and my iphone se is not able to restore please help me,applesupport
23,and this spotify is streaming and can control nor volume nor switching songs and even pauseplay doesnt work it just starts playing,applesupport
24,is it ok to run my macbook pro standing up like this its too complicated to explain why but i would like to,applesupport
25,how can i disable the d detection for the wifi on my macbook pro there are routers around me with wrong location dz,applesupport
26,can you please help ive tried resetting my account two times got email id get a textcall in hours but nothing,applesupport
